symbol,long_venue,short_venue,hours,coverage_pct,mean_bps_h,median_bps_h,stdev_bps_h,same_sign_frac,longest_run_h,carry_24h_p10,carry_24h_p50,carry_24h_p90,carry_24h_hit_frac,carry_7d_p10,carry_7d_p50,carry_7d_p90,carry_7d_hit_frac,hours_to_hurdle,annualised_pct,basis_hours,basis_mean_bps,basis_std_bps,basis_7d_move_max,basis_7d_move_p90,edge_7d_bps,windows_7d,rankable,mean_funding_long,mean_funding_short
LIT,ASTER,HL,1440,100.0,0.005321,0.0,0.266916,0.169444,14,-2.955981,-0.117954,4.28761,0.047989,-13.372685,-1.902947,18.798569,0.19403,1127.595378,0.466125,1440,-0.970924,10.163212,58.977043,24.494938,-29.601,1273,True,0.126541,0.131862
LIT,HL,ASTER,1440,100.0,-0.005321,0.0,0.266916,0.169444,14,-4.28761,0.117954,2.955981,0.053634,-18.798569,1.902947,13.372685,0.265515,,-0.466125,1440,0.970924,10.163212,58.977043,24.494938,-31.388875,1273,True,0.131862,0.126541
PUMP,LIGHTER,HL,1440,100.0,0.027137,0.005,0.26538,0.872917,370,-1.435178,0.12,3.688116,0.058574,-3.067107,1.969145,39.287489,0.410841,221.103958,2.377162,1440,-5.67499,13.89295,101.097826,30.770214,-32.211272,1273,True,0.141514,0.16865
LIT,LIGHTER,ASTER,1440,100.0,-0.011654,0.005,0.197268,0.211806,10,-2.8699,-0.17,1.90552,0.025406,-12.55218,-4.9267,11.76836,0.220738,,-1.020868,1440,2.070323,10.769056,64.554631,24.394783,-32.352613,1273,True,0.138194,0.126541
NVDA,LIGHTER,ASTER,1434,99.583333,-0.020326,-0.04,0.135828,0.878661,446,-1.17,-0.96,1.27,0.001417,-7.9838,-4.8003,1.0103,0.0,,-1.780522,1440,-6.319325,11.440148,57.834627,25.410065,-34.824764,1267,True,0.04106,0.020734
MU,LIGHTER,ASTER,280,19.444444,-0.020314,-0.04,0.268106,0.8,79,-2.98598,-0.96,2.42339,0.0,-9.5532,-7.9043,-2.1013,0.0,,-1.7795,194,-3.316534,13.860829,139.285404,25.578879,-34.991619,113,True,0.032607,0.012293
TSLA,HL,ASTER,1434,99.583333,-0.042512,-0.0625,0.161078,0.790795,120,-3.206567,-1.340479,1.556838,0.0,-15.375771,-10.290713,3.880999,0.025257,,-3.724082,1440,-10.405372,10.026261,58.525758,22.561937,-35.704013,1267,True,0.085153,0.042641
HOOD,HL,LIGHTER,1440,100.0,-0.037239,-0.0225,0.225445,0.810417,129,-4.092465,-1.149755,1.948477,0.027523,-26.504592,-8.890934,7.764532,0.112333,,-3.2621,1440,-6.023379,12.135792,129.671811,25.087506,-37.343589,1273,True,0.133162,0.095924
PUMP,ASTER,HL,1438,99.861111,0.115377,0.0,0.237241,0.41516,93,-0.448513,1.251258,8.358571,0.20212,-0.469407,11.519278,48.994666,0.59402,52.003485,10.107015,1440,-10.300606,22.591508,145.656932,51.388096,-38.00478,1271,True,0.052355,0.167732
ARB,HL,LIGHTER,1440,100.0,0.046598,-0.005,0.177172,0.440972,63,-2.286186,1.316017,4.278949,0.0247,-9.030404,11.660879,23.743077,0.670071,128.760793,4.081988,1440,1.41799,18.471227,125.30934,41.083311,-39.254841,1273,True,0.041833,0.088431
GOLD1,LIGHTER,ASTER,1438,99.861111,-0.044342,-0.04,0.082893,0.925591,1150,-1.87,-0.96,-0.0358,0.0,-18.18,-7.66,0.2578,0.0,,-3.884353,427,-1.493262,16.006372,233.083331,27.497363,-40.946808,1271,True,0.060549,0.016207
PUMP,HL,LIGHTER,1440,100.0,-0.027137,-0.005,0.26538,0.872917,370,-3.688116,-0.12,1.435178,0.028934,-39.287489,-1.969145,3.067107,0.091123,,-2.377162,1440,5.67499,13.89295,101.097826,30.770214,-41.329155,1273,True,0.16865,0.141514
ZEC,HL,ASTER,1440,100.0,-0.109023,-0.0345,0.2267,0.565972,55,-5.738252,-1.815955,0.336999,0.0,-46.095973,-11.249456,-2.7289,0.0,,-9.550383,1440,5.007072,7.823358,84.513447,17.17122,-41.487023,1273,True,0.166293,0.05727
ASTER,LIGHTER,HL,1440,100.0,0.043705,0.005,0.16163,0.927778,470,-0.242541,0.12,3.154989,0.05434,-0.841988,3.405101,29.128698,0.399057,137.283649,3.82857,1440,-6.657253,19.689356,156.04412,43.007698,-41.665236,1273,True,0.106604,0.150309
ZEC,LIGHTER,ASTER,1440,100.0,-0.123299,-0.0525,0.195671,0.61875,55,-6.1988,-2.0272,-0.29156,0.0,-40.9292,-15.2069,-8.30726,0.0,,-10.801013,1440,5.818505,6.952935,37.527672,15.116992,-41.831264,1273,True,0.180569,0.05727
NVDA,HL,ASTER,1434,99.583333,-0.057153,-0.0625,0.160283,0.843794,123,-3.016719,-1.458717,0.281276,0.0,-15.777384,-11.485346,-2.55826,0.0,,-5.006594,1440,-7.370591,11.301882,70.072451,27.773542,-43.375228,1267,True,0.077887,0.020734
ASTER,LIGHTER,ASTER,1438,99.861111,0.04507,-0.0036,0.22709,0.485396,92,-2.7706,0.3636,6.79784,0.125795,-13.9279,8.9692,28.34215,0.5476,133.127398,3.948098,1440,-12.171484,20.8145,179.276779,45.290568,-43.718874,1271,True,0.106481,0.151551
MU,HL,ASTER,280,19.444444,-0.056416,-0.0625,0.328662,0.803571,63,-4.077573,-1.5,1.267881,0.0,-11.940855,-10.247918,-6.065731,0.0,,-4.942051,194,-8.642554,13.744151,148.47954,28.668375,-44.14628,113,True,0.068709,0.012293
PUMP,ASTER,LIGHTER,1438,99.861111,0.089189,-0.005,0.217925,0.392211,80,-0.12,0.91295,6.36554,0.113074,-0.48,7.5012,33.8803,0.608183,67.272965,7.812945,1440,-4.633503,22.958163,144.48623,53.306453,-44.322722,1271,True,0.052355,0.141544
GOLD1,HL,ASTER,1438,99.861111,-0.07246,-0.0625,0.117233,0.885257,308,-4.128268,-1.526638,0.540846,0.0,-21.741627,-13.031138,5.084338,0.087333,,-6.347515,427,-11.140266,16.319013,238.633614,27.437044,-45.610359,1271,True,0.088668,0.016207
ARB,LIGHTER,HL,1440,100.0,-0.046598,0.005,0.177172,0.440972,63,-4.278949,-1.316017,2.286186,0.0247,-23.743077,-11.660879,9.030404,0.184603,,-4.081988,1440,-1.41799,18.471227,125.30934,41.083311,-54.911781,1273,True,0.088431,0.041833
ASTER,HL,LIGHTER,1440,100.0,-0.043705,-0.005,0.16163,0.927778,470,-3.154989,-0.12,0.242541,0.0,-29.128698,-3.405101,0.841988,0.0,,-3.82857,1440,6.657253,19.689356,156.04412,43.007698,-56.35016,1273,True,0.150309,0.106604
ARB,HL,ASTER,1434,99.583333,0.072787,0.0,0.143064,0.472106,62,-0.090496,1.572951,4.507886,0.022679,6.528997,13.890385,25.125021,0.920284,82.432608,6.376118,1440,1.255256,29.17107,338.144293,64.01245,-57.784279,1267,True,0.041485,0.114271
