ts_utc,direction,gross_bps,net_bps,bid_A,ask_A,bid_size_A,ask_size_A,bid_B,ask_B,bid_size_B,ask_size_B,funding_A,funding_B,age_A_ms,age_B_ms
2026-09-04T11:18:04.198+00:00,A_sell_B_buy,-7.1311,-13.0311,231.3,231.33,21.163,27.731,231.43,231.465,12.951,25.902,0.0000135601,0.0008000000,0.2,59.6
2026-09-04T11:18:04.198+00:00,B_sell_A_buy,4.3219,-1.5781,231.3,231.33,21.163,27.731,231.43,231.465,12.951,25.902,0.0000135601,0.0008000000,0.2,59.6
2026-09-04T11:18:05.418+00:00,A_sell_B_buy,-7.8229,-13.7229,231.29,231.3,36.971,8.736,231.43,231.471,12.951,25.902,0.0000135601,0.0008000000,0.1,587.6
2026-09-04T11:18:05.418+00:00,B_sell_A_buy,5.6186,-0.2814,231.29,231.3,36.971,8.736,231.43,231.471,12.951,25.902,0.0000135601,0.0008000000,0.1,587.6
2026-09-04T11:18:06.481+00:00,A_sell_B_buy,-7.9511,-13.8511,231.33,231.34,33.225,2.593,231.475,231.514,1.897,123.634,0.0000135601,0.0008000000,0.1,333.0
2026-09-04T11:18:06.481+00:00,B_sell_A_buy,5.8337,-0.0663,231.33,231.34,33.225,2.593,231.475,231.514,1.897,123.634,0.0000135601,0.0008000000,0.1,333.0
2026-09-04T11:18:07.694+00:00,A_sell_B_buy,-7.7777,-13.6777,231.35,231.36,1.668,152.104,231.488,231.53,1.894,25.902,0.0000135241,0.0008000000,213.8,0.1
2026-09-04T11:18:07.694+00:00,B_sell_A_buy,5.5308,-0.3692,231.35,231.36,1.668,152.104,231.488,231.53,1.894,25.902,0.0000135241,0.0008000000,213.8,0.1
2026-09-04T11:18:08.796+00:00,A_sell_B_buy,-7.9504,-13.8504,231.35,231.36,19.941,147.782,231.501,231.534,12.951,12.951,0.0000135241,0.0008000000,187.3,0.1
2026-09-04T11:18:08.796+00:00,B_sell_A_buy,6.0924,0.1924,231.35,231.36,19.941,147.782,231.501,231.534,12.951,12.951,0.0000135241,0.0008000000,187.3,0.1
2026-09-04T11:18:10.031+00:00,A_sell_B_buy,-7.9504,-13.8504,231.35,231.36,19.941,33.414,231.494,231.534,2.01,12.951,0.0000135241,0.0008000000,1047.2,0.1
2026-09-04T11:18:10.031+00:00,B_sell_A_buy,5.7900,-0.1100,231.35,231.36,19.941,33.414,231.494,231.534,2.01,12.951,0.0000135241,0.0008000000,1047.2,0.1
2026-09-04T11:18:12.548+00:00,A_sell_B_buy,-8.8140,-14.7140,231.35,231.38,69.097,33.609,231.516,231.554,12.951,12.951,0.0000134674,0.0008000000,0.0,24.1
2026-09-04T11:18:12.548+00:00,B_sell_A_buy,5.8760,-0.0240,231.35,231.38,69.097,33.609,231.516,231.554,12.951,12.951,0.0000134674,0.0008000000,0.0,24.1
2026-09-04T11:18:14.598+00:00,A_sell_B_buy,-7.9497,-13.8497,231.37,231.38,6.641,33.609,231.517,231.554,1.954,12.951,0.0000134674,0.0008000000,1502.4,0.1
2026-09-04T11:18:14.598+00:00,B_sell_A_buy,5.9191,0.0191,231.37,231.38,6.641,33.609,231.517,231.554,1.954,12.951,0.0000134674,0.0008000000,1502.4,0.1
2026-09-04T11:18:15.630+00:00,A_sell_B_buy,-8.4243,-14.3243,231.38,231.4,33.225,8.736,231.543,231.575,1.341,25.902,0.0000134674,0.0008000000,0.1,591.1
2026-09-04T11:18:15.630+00:00,B_sell_A_buy,6.1778,0.2778,231.38,231.4,33.225,8.736,231.543,231.575,1.341,25.902,0.0000134674,0.0008000000,0.1,591.1
2026-09-04T11:18:16.642+00:00,A_sell_B_buy,-8.8559,-14.7559,231.39,231.4,5.992,8.736,231.551,231.595,1.475,12.951,0.0000134674,0.0008000000,589.9,0.1
2026-09-04T11:18:16.642+00:00,B_sell_A_buy,6.5231,0.6231,231.39,231.4,5.992,8.736,231.551,231.595,1.475,12.951,0.0000134674,0.0008000000,589.9,0.1
2026-09-04T11:18:17.680+00:00,A_sell_B_buy,-8.0346,-13.9346,231.41,231.43,4.97,111.927,231.555,231.596,1.881,25.902,0.0000135010,0.0008000000,0.1,330.0
2026-09-04T11:18:17.680+00:00,B_sell_A_buy,5.3996,-0.5004,231.41,231.43,4.97,111.927,231.555,231.596,1.881,25.902,0.0000135010,0.0008000000,0.1,330.0
2026-09-04T11:18:18.866+00:00,A_sell_B_buy,-7.6023,-13.5023,231.42,231.45,17.604,1.151,231.567,231.596,12.951,25.902,0.0000135010,0.0008000000,0.1,276.9
2026-09-04T11:18:18.866+00:00,B_sell_A_buy,5.0538,-0.8462,231.42,231.45,17.604,1.151,231.567,231.596,12.951,25.902,0.0000135010,0.0008000000,0.1,276.9
2026-09-04T11:18:19.934+00:00,A_sell_B_buy,-7.6025,-13.5025,231.42,231.43,17.604,8.736,231.567,231.596,12.534,25.902,0.0000135010,0.0008000000,815.4,0.1
2026-09-04T11:18:19.934+00:00,B_sell_A_buy,5.9178,0.0178,231.42,231.43,17.604,8.736,231.567,231.596,12.534,25.902,0.0000135010,0.0008000000,815.4,0.1
2026-09-04T11:18:21.149+00:00,A_sell_B_buy,-8.1639,-14.0639,231.42,231.43,17.604,25.986,231.567,231.609,12.366,40.714,0.0000134443,0.0008000000,405.5,0.1
2026-09-04T11:18:21.149+00:00,B_sell_A_buy,5.9178,0.0178,231.42,231.43,17.604,25.986,231.567,231.609,12.366,40.714,0.0000134443,0.0008000000,405.5,0.1
2026-09-04T11:18:22.150+00:00,A_sell_B_buy,-8.1638,-14.0638,231.42,231.44,17.604,9.168,231.575,231.609,12.951,2.245,0.0000134443,0.0008000000,186.1,0.0
2026-09-04T11:18:22.150+00:00,B_sell_A_buy,5.8313,-0.0687,231.42,231.44,17.604,9.168,231.575,231.609,12.951,2.245,0.0000134443,0.0008000000,186.1,0.0
2026-09-04T11:18:23.700+00:00,A_sell_B_buy,-8.1631,-14.0631,231.44,231.46,4.321,9.168,231.585,231.629,1.694,25.902,0.0000134443,0.0008000000,732.0,0.1
2026-09-04T11:18:23.700+00:00,B_sell_A_buy,5.3989,-0.5011,231.44,231.46,4.321,9.168,231.585,231.629,1.694,25.902,0.0000134443,0.0008000000,732.0,0.1
2026-09-04T11:18:24.708+00:00,A_sell_B_buy,-8.1631,-14.0631,231.44,231.46,4.321,9.168,231.585,231.629,14.214,25.902,0.0000134443,0.0008000000,1739.2,0.1
2026-09-04T11:18:24.708+00:00,B_sell_A_buy,5.3989,-0.5011,231.44,231.46,4.321,9.168,231.585,231.629,14.214,25.902,0.0000134443,0.0008000000,1739.2,0.1
2026-09-04T11:18:26.256+00:00,A_sell_B_buy,-7.3865,-13.2865,231.42,231.45,20.205,12.272,231.557,231.591,12.951,2.254,0.0000134221,0.0008000000,0.0,29.7
2026-09-04T11:18:26.256+00:00,B_sell_A_buy,4.6219,-1.2781,231.42,231.45,20.205,12.272,231.557,231.591,12.951,2.254,0.0000134221,0.0008000000,0.0,29.7
2026-09-04T11:18:27.664+00:00,A_sell_B_buy,-7.7755,-13.6755,231.41,231.43,20.699,8.736,231.557,231.59,12.951,2.128,0.0000134221,0.0008000000,0.1,1110.9
2026-09-04T11:18:27.664+00:00,B_sell_A_buy,5.4860,-0.4140,231.41,231.43,20.699,8.736,231.557,231.59,12.951,2.128,0.0000134221,0.0008000000,0.1,1110.9
2026-09-04T11:18:30.024+00:00,A_sell_B_buy,-7.3866,-13.2866,231.42,231.43,17.292,8.736,231.557,231.591,14.918,12.951,0.0000134221,0.0008000000,1625.2,0.1
2026-09-04T11:18:30.024+00:00,B_sell_A_buy,5.4860,-0.4140,231.42,231.43,17.292,8.736,231.557,231.591,14.918,12.951,0.0000134221,0.0008000000,1625.2,0.1
2026-09-04T11:18:31.092+00:00,A_sell_B_buy,-7.7314,-13.6314,231.44,231.45,4.321,8.736,231.581,231.619,0.677,25.902,0.0000134221,0.0008000000,0.1,222.5
2026-09-04T11:18:31.092+00:00,B_sell_A_buy,5.6582,-0.2418,231.44,231.45,4.321,8.736,231.581,231.619,0.677,25.902,0.0000134221,0.0008000000,0.1,222.5
2026-09-04T11:18:32.197+00:00,A_sell_B_buy,-7.7313,-13.6313,231.44,231.46,3.332,3.015,231.581,231.619,0.677,25.902,0.0000133821,0.0008000000,0.1,1326.7
2026-09-04T11:18:32.197+00:00,B_sell_A_buy,5.2262,-0.6738,231.44,231.46,3.332,3.015,231.581,231.619,0.677,25.902,0.0000133821,0.0008000000,0.1,1326.7
2026-09-04T11:18:33.994+00:00,A_sell_B_buy,-7.7313,-13.6313,231.44,231.46,19.466,11.751,231.581,231.619,0.246,25.902,0.0000133821,0.0008000000,1203.6,0.1
2026-09-04T11:18:33.994+00:00,B_sell_A_buy,5.2262,-0.6738,231.44,231.46,19.466,11.751,231.581,231.619,0.246,25.902,0.0000133821,0.0008000000,1203.6,0.1
2026-09-04T11:18:35.084+00:00,A_sell_B_buy,-8.1203,-14.0203,231.43,231.45,0.072,4.321,231.581,231.618,1.567,1.895,0.0000133821,0.0008000000,0.1,591.3
2026-09-04T11:18:35.084+00:00,B_sell_A_buy,5.6583,-0.2417,231.43,231.45,0.072,4.321,231.581,231.618,1.567,1.895,0.0000133821,0.0008000000,0.1,591.3
2026-09-04T11:18:37.020+00:00,A_sell_B_buy,-7.3000,-13.2000,231.43,231.44,0.072,8.736,231.562,231.599,25.902,2.059,0.0000133526,0.0008000000,1408.1,0.1
2026-09-04T11:18:37.020+00:00,B_sell_A_buy,5.2698,-0.6302,231.43,231.44,0.072,8.736,231.562,231.599,25.902,2.059,0.0000133526,0.0008000000,1408.1,0.1
2026-09-04T11:18:41.722+00:00,A_sell_B_buy,-7.2568,-13.1568,231.43,231.44,0.072,10.054,231.562,231.598,25.471,2.148,0.0000133354,0.0008000000,0.1,379.5
2026-09-04T11:18:41.722+00:00,B_sell_A_buy,5.2698,-0.6302,231.43,231.44,0.072,10.054,231.562,231.598,25.471,2.148,0.0000133354,0.0008000000,0.1,379.5
2026-09-04T11:18:42.940+00:00,A_sell_B_buy,-7.8184,-13.7184,231.42,231.44,4.516,10.054,231.562,231.601,25.471,12.951,0.0000133354,0.0008000000,736.3,0.1
2026-09-04T11:18:42.940+00:00,B_sell_A_buy,5.2698,-0.6302,231.42,231.44,4.516,10.054,231.562,231.601,25.471,12.951,0.0000133354,0.0008000000,736.3,0.1
2026-09-04T11:18:44.025+00:00,A_sell_B_buy,-7.6019,-13.5019,231.44,231.45,4.321,8.736,231.582,231.616,12.52,14.975,0.0000133354,0.0008000000,0.1,311.1
2026-09-04T11:18:44.025+00:00,B_sell_A_buy,5.7014,-0.1986,231.44,231.45,4.321,8.736,231.582,231.616,12.52,14.975,0.0000133354,0.0008000000,0.1,311.1
2026-09-04T11:18:45.217+00:00,A_sell_B_buy,-7.6019,-13.5019,231.44,231.45,19.775,8.736,231.574,231.616,1.017,14.975,0.0000133354,0.0008000000,0.1,458.4
2026-09-04T11:18:45.217+00:00,B_sell_A_buy,5.3559,-0.5441,231.44,231.45,19.775,8.736,231.574,231.616,1.017,14.975,0.0000133354,0.0008000000,0.1,458.4
2026-09-04T11:18:46.850+00:00,A_sell_B_buy,-7.6019,-13.5019,231.44,231.45,19.775,8.736,231.575,231.616,0.075,14.975,0.0000133243,0.0008000000,1632.2,0.1
2026-09-04T11:18:46.850+00:00,B_sell_A_buy,5.3991,-0.5009,231.44,231.45,19.775,8.736,231.575,231.616,0.075,14.975,0.0000133243,0.0008000000,1632.2,0.1
2026-09-04T11:18:48.115+00:00,A_sell_B_buy,-7.6019,-13.5019,231.44,231.45,19.775,8.47,231.575,231.616,0.075,14.975,0.0000133243,0.0008000000,0.1,1265.6
2026-09-04T11:18:48.115+00:00,B_sell_A_buy,5.3991,-0.5009,231.44,231.45,19.775,8.47,231.575,231.616,0.075,14.975,0.0000133243,0.0008000000,0.1,1265.6
2026-09-04T11:18:50.059+00:00,A_sell_B_buy,-7.4292,-13.3292,231.44,231.45,19.775,8.47,231.571,231.612,25.902,1.992,0.0000133243,0.0008000000,1945.0,0.1
2026-09-04T11:18:50.059+00:00,B_sell_A_buy,5.2264,-0.6736,231.44,231.45,19.775,8.47,231.571,231.612,25.902,1.992,0.0000133243,0.0008000000,1945.0,0.1
2026-09-04T11:18:51.744+00:00,A_sell_B_buy,-7.0406,-12.9406,231.44,231.45,4.321,8.47,231.571,231.603,25.902,1.918,0.0000133771,0.0008000000,1484.6,0.1
2026-09-04T11:18:51.744+00:00,B_sell_A_buy,5.2264,-0.6736,231.44,231.45,4.321,8.47,231.571,231.603,25.902,1.918,0.0000133771,0.0008000000,1484.6,0.1
2026-09-04T11:18:52.747+00:00,A_sell_B_buy,-6.9542,-12.8542,231.44,231.45,4.321,12.791,231.568,231.601,0.225,12.951,0.0000133771,0.0008000000,353.7,0.0
2026-09-04T11:18:52.747+00:00,B_sell_A_buy,5.0969,-0.8031,231.44,231.45,4.321,12.791,231.568,231.601,0.225,12.951,0.0000133771,0.0008000000,353.7,0.0
2026-09-04T11:18:53.938+00:00,A_sell_B_buy,-7.2569,-13.1569,231.42,231.44,23.235,13.057,231.57,231.588,12.951,1.822,0.0000133771,0.0008000000,0.1,918.7
2026-09-04T11:18:53.938+00:00,B_sell_A_buy,5.6154,-0.2846,231.42,231.44,23.235,13.057,231.57,231.588,12.951,1.822,0.0000133771,0.0008000000,0.1,918.7
2026-09-04T11:18:55.156+00:00,A_sell_B_buy,-7.7751,-13.6751,231.42,231.44,23.235,13.057,231.57,231.6,12.951,2.013,0.0000133771,0.0008000000,1217.9,0.1
2026-09-04T11:18:55.156+00:00,B_sell_A_buy,5.6154,-0.2846,231.42,231.44,23.235,13.057,231.57,231.6,12.951,2.013,0.0000133771,0.0008000000,1217.9,0.1
2026-09-04T11:18:56.376+00:00,A_sell_B_buy,-7.3434,-13.2434,231.42,231.44,4.516,6.192,231.555,231.59,12.951,1.702,0.0000133771,0.0008000000,0.0,189.0
2026-09-04T11:18:56.376+00:00,B_sell_A_buy,4.9676,-0.9324,231.42,231.44,4.516,6.192,231.555,231.59,12.951,1.702,0.0000133771,0.0008000000,0.0,189.0
2026-09-04T11:18:57.567+00:00,A_sell_B_buy,-7.0411,-12.9411,231.42,231.43,0.195,13.057,231.555,231.583,12.951,1.837,0.0000133321,0.0008000000,612.8,0.1
2026-09-04T11:18:57.567+00:00,B_sell_A_buy,5.3996,-0.5004,231.42,231.43,0.195,13.057,231.555,231.583,12.951,1.837,0.0000133321,0.0008000000,612.8,0.1
2026-09-04T11:18:58.758+00:00,A_sell_B_buy,-6.9116,-12.8116,231.42,231.43,0.195,13.057,231.553,231.58,0.225,1.968,0.0000133321,0.0008000000,1804.4,0.1
2026-09-04T11:18:58.758+00:00,B_sell_A_buy,5.3133,-0.5867,231.42,231.43,0.195,13.057,231.553,231.58,0.225,1.968,0.0000133321,0.0008000000,1804.4,0.1
2026-09-04T11:18:59.794+00:00,A_sell_B_buy,-7.4316,-13.3316,231.36,231.38,26.796,48.622,231.5,231.532,108.427,2.165,0.0000133321,0.0008000000,0.0,647.0
2026-09-04T11:18:59.794+00:00,B_sell_A_buy,5.1849,-0.7151,231.36,231.38,26.796,48.622,231.5,231.532,108.427,2.165,0.0000133321,0.0008000000,0.0,647.0
2026-09-04T11:19:01.235+00:00,A_sell_B_buy,-7.4317,-13.3317,231.36,231.37,18.647,8.736,231.502,231.532,12.951,2.165,0.0000133321,0.0008000000,996.5,0.1
2026-09-04T11:19:01.235+00:00,B_sell_A_buy,5.7034,-0.1966,231.36,231.37,18.647,8.736,231.502,231.532,12.951,2.165,0.0000133321,0.0008000000,996.5,0.1
2026-09-04T11:19:02.350+00:00,A_sell_B_buy,-7.1723,-13.0723,231.37,231.38,19.358,9.168,231.502,231.536,12.951,2.075,0.0000132705,0.0008000000,350.9,0.1
2026-09-04T11:19:02.350+00:00,B_sell_A_buy,5.2712,-0.6288,231.37,231.38,19.358,9.168,231.502,231.536,12.951,2.075,0.0000132705,0.0008000000,350.9,0.1
2026-09-04T11:19:04.489+00:00,A_sell_B_buy,-7.3019,-13.2019,231.37,231.38,21.008,9.168,231.502,231.539,12.951,2.191,0.0000132705,0.0008000000,1603.8,0.1
2026-09-04T11:19:04.489+00:00,B_sell_A_buy,5.2712,-0.6288,231.37,231.38,21.008,9.168,231.502,231.539,12.951,2.191,0.0000132705,0.0008000000,1603.8,0.1
2026-09-04T11:19:05.507+00:00,A_sell_B_buy,-7.0002,-12.9002,231.34,231.37,6.307,22.15,231.471,231.502,108.427,2.022,0.0000132705,0.0008000000,0.1,261.2
2026-09-04T11:19:05.507+00:00,B_sell_A_buy,4.3643,-1.5357,231.34,231.37,6.307,22.15,231.471,231.502,108.427,2.022,0.0000132705,0.0008000000,0.1,261.2
2026-09-04T11:19:06.745+00:00,A_sell_B_buy,-7.0004,-12.9004,231.34,231.35,4.646,13.058,231.471,231.502,108.427,0.294,0.0000132705,0.0008000000,583.7,0.1
2026-09-04T11:19:06.745+00:00,B_sell_A_buy,5.2287,-0.6713,231.34,231.35,4.646,13.058,231.471,231.502,108.427,0.294,0.0000132705,0.0008000000,583.7,0.1
2026-09-04T11:19:17.956+00:00,A_sell_B_buy,-6.0504,-11.9504,231.32,231.35,1.65,102.614,231.428,231.46,0.225,1.845,0.0000131215,0.0007000000,0.1,198.2
2026-09-04T11:19:17.956+00:00,B_sell_A_buy,3.3709,-2.5291,231.32,231.35,1.65,102.614,231.428,231.46,0.225,1.845,0.0000131215,0.0007000000,0.1,198.2
2026-09-04T11:19:24.241+00:00,A_sell_B_buy,-7.3475,-13.2475,231.29,231.31,6.008,13.059,231.424,231.46,25.902,1.845,0.0000130862,0.0007000000,0.1,1252.5
2026-09-04T11:19:24.241+00:00,B_sell_A_buy,4.9272,-0.9728,231.29,231.31,6.008,13.059,231.424,231.46,25.902,1.845,0.0000130862,0.0007000000,0.1,1252.5
2026-09-04T11:19:42.321+00:00,A_sell_B_buy,-7.4773,-13.3773,231.28,231.31,20.664,6.714,231.42,231.453,1.977,2.154,0.0000130074,0.0007000000,0.0,79.1
2026-09-04T11:19:42.321+00:00,B_sell_A_buy,4.7544,-1.1456,231.28,231.31,20.664,6.714,231.42,231.453,1.977,2.154,0.0000130074,0.0007000000,0.0,79.1
2026-09-04T11:19:43.936+00:00,A_sell_B_buy,-7.4774,-13.3774,231.28,231.3,24.988,13.059,231.419,231.453,12.951,2.154,0.0000130074,0.0007000000,665.0,0.1
