ts_utc,direction,gross_bps,net_bps,bid_A,ask_A,bid_size_A,ask_size_A,bid_B,ask_B,bid_size_B,ask_size_B,funding_A,funding_B,age_A_ms,age_B_ms
2026-09-04T11:34:54.602+00:00,A_sell_B_buy,-12.4402,-18.3402,4466.7,4466.8,8.2131,3.8132,4471.72,4472.26,1.0036,3.2974,0.0000062500,0.0008000000,0.1,21.0
2026-09-04T11:34:54.602+00:00,B_sell_A_buy,11.0083,5.1083,4466.7,4466.8,8.2131,3.8132,4471.72,4472.26,1.0036,3.2974,0.0000062500,0.0008000000,0.1,21.0
2026-09-04T11:34:55.622+00:00,A_sell_B_buy,-11.4561,-17.3561,4466.7,4466.8,1.3644,24.3791,4471.56,4471.82,3.1515,2.2413,0.0000062500,0.0008000000,0.1,477.6
2026-09-04T11:34:55.622+00:00,B_sell_A_buy,10.6506,4.7506,4466.7,4466.8,1.3644,24.3791,4471.56,4471.82,3.1515,2.2413,0.0000062500,0.0008000000,0.1,477.6
2026-09-04T11:34:57.010+00:00,A_sell_B_buy,-11.4561,-17.3561,4466.7,4466.8,1.3644,24.3791,4471.56,4471.82,1.0036,2.0066,0.0000062500,0.0008000000,1388.2,0.1
2026-09-04T11:34:57.010+00:00,B_sell_A_buy,10.6506,4.7506,4466.7,4466.8,1.3644,24.3791,4471.56,4471.82,1.0036,2.0066,0.0000062500,0.0008000000,1388.2,0.1
2026-09-04T11:34:58.381+00:00,A_sell_B_buy,-11.4561,-17.3561,4466.7,4466.8,1.3644,23.577,4471.56,4471.82,1.0036,2.0066,0.0000062500,0.0008000000,0.1,768.3
2026-09-04T11:34:58.381+00:00,B_sell_A_buy,10.6506,4.7506,4466.7,4466.8,1.3644,23.577,4471.56,4471.82,1.0036,2.0066,0.0000062500,0.0008000000,0.1,768.3
2026-09-04T11:34:59.461+00:00,A_sell_B_buy,-12.1280,-18.0280,4466.4,4466.5,3.999,1.2693,4471.34,4471.82,2.075,2.0066,0.0000062500,0.0008000000,0.1,348.5
2026-09-04T11:34:59.461+00:00,B_sell_A_buy,10.8301,4.9301,4466.4,4466.5,3.999,1.2693,4471.34,4471.82,2.075,2.0066,0.0000062500,0.0008000000,0.1,348.5
2026-09-04T11:35:00.629+00:00,A_sell_B_buy,-11.9490,-17.8490,4466.4,4466.5,3.999,21.3844,4471.39,4471.74,0.659,0.0319,0.0000062500,0.0008000000,708.2,0.1
