ts_utc,direction,gross_bps,net_bps,bid_A,ask_A,bid_size_A,ask_size_A,bid_B,ask_B,bid_size_B,ask_size_B,funding_A,funding_B,age_A_ms,age_B_ms
2026-09-04T11:28:59.525+00:00,B_sell_A_buy,6.7009,0.8009,231.22,231.23,30.685,36.201,231.385,231.419,32.493,1.224,0.0000122078,0.0007000000,0.1,315.5
2026-09-04T11:29:00.184+00:00,B_sell_A_buy,6.7009,0.8009,231.22,231.23,30.685,36.489,231.385,231.419,32.493,1.224,0.0000122078,0.0007000000,0.1,975.2
2026-09-04T11:29:00.253+00:00,B_sell_A_buy,6.7009,0.8009,231.22,231.23,6.652,36.489,231.385,231.419,32.493,1.224,0.0000122078,0.0007000000,0.1,1043.5
2026-09-04T11:29:00.702+00:00,B_sell_A_buy,6.7009,0.8009,231.22,231.23,32.556,36.489,231.385,231.419,32.493,1.224,0.0000122078,0.0007000000,0.1,1492.8
2026-09-04T11:29:01.140+00:00,B_sell_A_buy,6.7009,0.8009,231.22,231.23,36.881,36.489,231.385,231.419,32.493,1.224,0.0000122078,0.0007000000,0.1,1930.3
2026-09-04T11:29:02.412+00:00,B_sell_A_buy,6.7009,0.8009,231.22,231.23,32.556,37.027,231.385,231.419,32.493,0.824,0.0000121849,0.0007000000,402.3,0.1
2026-09-04T11:29:03.122+00:00,B_sell_A_buy,6.7009,0.8009,231.22,231.23,36.881,37.027,231.385,231.419,32.493,0.824,0.0000121849,0.0007000000,0.1,710.4
2026-09-04T11:29:03.588+00:00,B_sell_A_buy,6.7009,0.8009,231.22,231.23,36.881,37.027,231.385,231.42,32.493,25.924,0.0000121849,0.0007000000,465.1,0.1
2026-09-04T11:29:03.588+00:00,B_sell_A_buy,6.7008,0.8008,231.22,231.23,36.881,37.027,231.385,231.432,32.493,2.157,0.0000121849,0.0007000000,465.2,0.2
2026-09-04T11:29:03.592+00:00,B_sell_A_buy,6.7008,0.8008,231.22,231.23,36.881,37.027,231.385,231.433,32.493,0.225,0.0000121849,0.0007000000,469.0,0.1
2026-09-04T11:29:03.603+00:00,B_sell_A_buy,6.7008,0.8008,231.22,231.23,36.881,37.027,231.385,231.433,45.455,0.225,0.0000121849,0.0007000000,480.6,0.0
2026-09-04T11:29:03.612+00:00,B_sell_A_buy,6.7439,0.8439,231.22,231.23,36.881,37.027,231.386,231.444,2.03,1.264,0.0000121849,0.0007000000,489.5,0.1
2026-09-04T11:29:03.621+00:00,B_sell_A_buy,7.6948,1.7948,231.22,231.23,36.881,37.027,231.408,231.444,32.493,1.264,0.0000121849,0.0007000000,498.8,0.1
