ts_utc,direction,gross_bps,net_bps,bid_A,ask_A,bid_size_A,ask_size_A,bid_B,ask_B,bid_size_B,ask_size_B,funding_A,funding_B,age_A_ms,age_B_ms
2026-09-04T11:52:11.462+00:00,A_sell_B_buy,1.1072,-8.3928,81289.0,81290.0,7.48802,1.08922,81279.90000000001,81280.0,0.1767,0.0002,0.0000125000,0.0012000000,0.1,56.5
2026-09-04T11:52:11.462+00:00,B_sell_A_buy,-1.2425,-10.7425,81289.0,81290.0,7.48802,1.08922,81279.90000000001,81280.0,0.1767,0.0002,0.0000125000,0.0012000000,0.1,56.5
2026-09-04T11:52:11.651+00:00,A_sell_B_buy,1.1072,-8.3928,81289.0,81290.0,7.48802,2.40698,81279.90000000001,81280.0,0.1767,0.0002,0.0000125000,0.0012000000,0.1,244.6
2026-09-04T11:52:11.651+00:00,B_sell_A_buy,-1.2425,-10.7425,81289.0,81290.0,7.48802,2.40698,81279.90000000001,81280.0,0.1767,0.0002,0.0000125000,0.0012000000,0.1,244.6
2026-09-04T11:52:11.788+00:00,A_sell_B_buy,1.0949,-8.4051,81289.0,81290.0,7.48802,2.40698,81280.0,81280.09999999999,0.069,0.0002,0.0000125000,0.0012000000,137.3,0.1
2026-09-04T11:52:11.788+00:00,B_sell_A_buy,-1.2302,-10.7302,81289.0,81290.0,7.48802,2.40698,81280.0,81280.09999999999,0.069,0.0002,0.0000125000,0.0012000000,137.3,0.1
2026-09-04T11:52:11.790+00:00,A_sell_B_buy,1.0949,-8.4051,81289.0,81290.0,7.48802,2.40698,81280.0,81280.09999999999,0.138,0.0002,0.0000125000,0.0012000000,139.2,0.0
2026-09-04T11:52:11.790+00:00,B_sell_A_buy,-1.2302,-10.7302,81289.0,81290.0,7.48802,2.40698,81280.0,81280.09999999999,0.138,0.0002,0.0000125000,0.0012000000,139.2,0.0
2026-09-04T11:52:11.815+00:00,A_sell_B_buy,1.0949,-8.4051,81289.0,81290.0,7.48802,2.40698,81280.0,81280.09999999999,0.18664,0.0002,0.0000125000,0.0012000000,164.6,0.0
2026-09-04T11:52:11.815+00:00,B_sell_A_buy,-1.2302,-10.7302,81289.0,81290.0,7.48802,2.40698,81280.0,81280.09999999999,0.18664,0.0002,0.0000125000,0.0012000000,164.6,0.0
2026-09-04T11:52:11.815+00:00,A_sell_B_buy,1.0949,-8.4051,81289.0,81290.0,7.48802,2.40698,81280.0,81280.09999999999,0.24789,0.0002,0.0000125000,0.0012000000,164.6,0.1
2026-09-04T11:52:11.815+00:00,B_sell_A_buy,-1.2302,-10.7302,81289.0,81290.0,7.48802,2.40698,81280.0,81280.09999999999,0.24789,0.0002,0.0000125000,0.0012000000,164.6,0.1
2026-09-04T11:52:11.981+00:00,A_sell_B_buy,1.0949,-8.4051,81289.0,81290.0,7.48802,2.40698,81280.0,81280.09999999999,0.28085,0.0002,0.0000125000,0.0012000000,330.1,0.1
2026-09-04T11:52:11.981+00:00,B_sell_A_buy,-1.2302,-10.7302,81289.0,81290.0,7.48802,2.40698,81280.0,81280.09999999999,0.28085,0.0002,0.0000125000,0.0012000000,330.1,0.1
2026-09-04T11:52:11.981+00:00,A_sell_B_buy,1.0949,-8.4051,81289.0,81290.0,7.91929,2.40698,81280.0,81280.09999999999,0.28085,0.0002,0.0000125000,0.0012000000,0.1,0.2
2026-09-04T11:52:11.981+00:00,B_sell_A_buy,-1.2302,-10.7302,81289.0,81290.0,7.91929,2.40698,81280.0,81280.09999999999,0.28085,0.0002,0.0000125000,0.0012000000,0.1,0.2
2026-09-04T11:52:11.987+00:00,A_sell_B_buy,1.0949,-8.4051,81289.0,81290.0,7.91929,2.40698,81280.0,81280.09999999999,0.60574,0.0002,0.0000125000,0.0012000000,6.6,0.0
2026-09-04T11:52:11.987+00:00,B_sell_A_buy,-1.2302,-10.7302,81289.0,81290.0,7.91929,2.40698,81280.0,81280.09999999999,0.60574,0.0002,0.0000125000,0.0012000000,6.6,0.0
2026-09-04T11:52:11.987+00:00,A_sell_B_buy,1.0949,-8.4051,81289.0,81290.0,7.91929,2.40698,81280.0,81280.09999999999,1.26962,0.0002,0.0000125000,0.0012000000,6.6,0.1
2026-09-04T11:52:11.987+00:00,B_sell_A_buy,-1.2302,-10.7302,81289.0,81290.0,7.91929,2.40698,81280.0,81280.09999999999,1.26962,0.0002,0.0000125000,0.0012000000,6.6,0.1
2026-09-04T11:52:11.995+00:00,A_sell_B_buy,1.0949,-8.4051,81289.0,81290.0,7.91929,2.40698,81280.0,81280.09999999999,1.28192,0.0002,0.0000125000,0.0012000000,13.7,0.0
2026-09-04T11:52:11.995+00:00,B_sell_A_buy,-1.2302,-10.7302,81289.0,81290.0,7.91929,2.40698,81280.0,81280.09999999999,1.28192,0.0002,0.0000125000,0.0012000000,13.7,0.0
2026-09-04T11:52:12.048+00:00,A_sell_B_buy,0.8243,-8.6757,81289.0,81290.0,7.91929,2.40698,81280.0,81282.3,1.28192,0.00013,0.0000125000,0.0012000000,68.0,0.1
2026-09-04T11:52:12.048+00:00,B_sell_A_buy,-1.2302,-10.7302,81289.0,81290.0,7.91929,2.40698,81280.0,81282.3,1.28192,0.00013,0.0000125000,0.0012000000,68.0,0.1
2026-09-04T11:52:12.063+00:00,A_sell_B_buy,0.8243,-8.6757,81289.0,81290.0,7.91929,1.08922,81280.0,81282.3,1.28192,0.00013,0.0000125000,0.0012000000,0.1,13.7
2026-09-04T11:52:12.063+00:00,B_sell_A_buy,-1.2302,-10.7302,81289.0,81290.0,7.91929,1.08922,81280.0,81282.3,1.28192,0.00013,0.0000125000,0.0012000000,0.1,13.7
