ts_utc,direction,gross_bps,net_bps,bid_A,ask_A,bid_size_A,ask_size_A,bid_B,ask_B,bid_size_B,ask_size_B,funding_A,funding_B,age_A_ms,age_B_ms
2026-09-04T12:17:35.968+00:00,B_sell_A_buy,6.2917,0.3917,365.41,365.42,13.941,3.317,365.65,365.77,16.1993,28.8397,0.0000062500,0.0004000000,94.5,0.1
2026-09-04T12:21:38.054+00:00,B_sell_A_buy,6.2738,0.3738,366.48,366.49,0.87,2.546,366.72,366.73,1.06,0.2696,0.0000062500,0.0004000000,204.8,0.0
2026-09-04T12:21:38.054+00:00,B_sell_A_buy,6.2737,0.3737,366.48,366.49,0.87,2.546,366.72,366.74,1.06,0.306,0.0000062500,0.0004000000,204.9,0.1
2026-09-04T12:21:38.107+00:00,B_sell_A_buy,6.5465,0.6465,366.48,366.49,0.87,2.546,366.73,366.74,0.9057,0.306,0.0000062500,0.0004000000,259.4,0.1
2026-09-04T12:21:38.109+00:00,B_sell_A_buy,6.5465,0.6465,366.48,366.49,0.87,2.546,366.73,366.74,9.105,0.306,0.0000062500,0.0004000000,259.6,0.3
