ts_utc,sell_venue,buy_venue,gross_bps,net_bps,sell_bid,sell_bid_size,buy_ask,buy_ask_size,sell_ask,buy_bid,funding_sell,funding_buy,age_sell_ms,age_buy_ms
2026-09-14T08:37:24.493+00:00,ENTROPY,ASTER,-47.2530,-54.0530,1.3317,61.3,1.338,2658.43,1.3333,1.33,0.0002473804,0.0000000000,84.1,0.3
2026-09-14T08:37:24.493+00:00,ASTER,ENTROPY,-24.7515,-31.5515,1.33,4187.28,1.3333,10.9,1.338,1.3317,0.0000000000,0.0002473804,0.3,84.1
2026-09-14T08:37:26.119+00:00,ENTROPY,ASTER,-47.2556,-54.0556,1.3317,61.3,1.338,2658.43,1.333,1.33,0.0002473804,0.0000000000,0.5,1170.7
2026-09-14T08:37:26.119+00:00,ASTER,ENTROPY,-22.5027,-29.3027,1.33,1434.22,1.333,9.5,1.338,1.3317,0.0000000000,0.0002473804,1170.7,0.5
