ts_utc,venue,bid,ask,mid,levels_bid,levels_ask,bid_usd_2bps,bid_usd_5bps,bid_usd_10bps,ask_usd_2bps,ask_usd_5bps,ask_usd_10bps
2026-09-14T08:37:16.131+00:00,HL,1554.80000000,1554.90000000,1554.85000000,20,20,168875.67,456296.17,1201672.98,125819.98,404035.30,948425.10
2026-09-14T08:37:16.131+00:00,ENTROPY,1554.90000000,1555.10000000,1555.00000000,20,20,3226.20,8955.25,72512.14,4805.44,14751.02,41365.26
2026-09-14T08:37:16.131+00:00,ASTER,1557.10000000,1557.51000000,1557.30500000,333,470,63241.43,64440.05,74663.39,12927.54,24675.86,120638.13
2026-09-14T08:37:17.140+00:00,HL,1555.50000000,1555.60000000,1555.55000000,20,20,111097.20,311035.75,1018507.04,148333.60,407747.47,1105537.28
2026-09-14T08:37:17.140+00:00,ENTROPY,1555.20000000,1555.60000000,1555.40000000,20,20,4985.59,14759.97,72456.32,2781.39,29039.92,43066.76
2026-09-14T08:37:17.140+00:00,ASTER,1556.97000000,1557.34000000,1557.15500000,333,472,75407.42,75609.76,96006.15,56550.85,57734.72,99236.02
2026-09-14T08:37:18.134+00:00,HL,1555.50000000,1555.60000000,1555.55000000,20,20,111097.20,311035.75,1018507.04,148333.60,407747.47,1105537.28
2026-09-14T08:37:18.134+00:00,ENTROPY,1555.20000000,1555.60000000,1555.40000000,20,20,4985.59,14759.97,72456.32,2781.39,29039.92,43066.76
2026-09-14T08:37:18.134+00:00,ASTER,1556.79000000,1557.34000000,1557.06500000,331,471,76389.68,86550.78,96848.31,3550.96,4734.83,46236.13
2026-09-14T08:37:19.133+00:00,HL,1555.50000000,1555.60000000,1555.55000000,20,20,111097.20,311035.75,1018507.04,148333.60,407747.47,1105537.28
2026-09-14T08:37:19.133+00:00,ENTROPY,1555.20000000,1555.60000000,1555.40000000,20,20,4985.59,14759.97,72456.32,2781.39,29039.92,43066.76
2026-09-14T08:37:19.133+00:00,ASTER,1557.09000000,1557.34000000,1557.21500000,333,471,75600.87,76737.22,86960.55,7304.57,8488.44,40718.88
2026-09-14T08:37:20.130+00:00,HL,1555.50000000,1555.60000000,1555.55000000,20,20,111097.20,311035.75,1018507.04,148333.60,407747.47,1105537.28
2026-09-14T08:37:20.130+00:00,ENTROPY,1555.20000000,1555.60000000,1555.40000000,20,20,4985.59,14759.97,72456.32,2781.39,29039.92,43066.76
2026-09-14T08:37:20.130+00:00,ASTER,1557.00000000,1557.47000000,1557.23500000,332,470,65216.47,66337.26,85582.67,79821.00,81223.30,177185.53
2026-09-14T08:37:21.131+00:00,HL,1555.50000000,1555.60000000,1555.55000000,20,20,111097.20,311035.75,1018507.04,148333.60,407747.47,1105537.28
2026-09-14T08:37:21.131+00:00,ENTROPY,1555.20000000,1555.60000000,1555.40000000,20,20,4985.59,14759.97,72456.32,2781.39,29039.92,43066.76
2026-09-14T08:37:21.131+00:00,ASTER,1557.47000000,1557.70000000,1557.58500000,340,479,88264.15,91424.65,99268.79,5623.92,9612.82,76523.93
2026-09-14T08:37:22.142+00:00,HL,1555.90000000,1556.00000000,1555.95000000,20,20,613591.05,909208.90,1542981.70,220555.24,450272.18,1074183.44
2026-09-14T08:37:22.142+00:00,ENTROPY,1555.80000000,1556.20000000,1556.00000000,20,20,3222.22,12080.00,70494.05,4327.19,9234.48,39936.57
2026-09-14T08:37:22.142+00:00,ASTER,1557.60000000,1558.00000000,1557.80000000,334,471,87103.79,87243.92,98092.38,55546.35,57884.23,127026.20
2026-09-14T08:37:23.133+00:00,HL,1555.90000000,1556.00000000,1555.95000000,20,20,613591.05,909208.90,1542981.70,220555.24,450272.18,1074183.44
2026-09-14T08:37:23.133+00:00,ENTROPY,1555.80000000,1556.20000000,1556.00000000,20,20,3222.22,12080.00,70494.05,4327.19,9234.48,39936.57
2026-09-14T08:37:23.133+00:00,ASTER,1557.42000000,1557.96000000,1557.69000000,332,469,69285.67,70624.52,80258.64,13258.34,14442.72,46227.46
2026-09-14T08:37:24.135+00:00,HL,1555.90000000,1556.00000000,1555.95000000,20,20,613591.05,909208.90,1542981.70,220555.24,450272.18,1074183.44
2026-09-14T08:37:24.135+00:00,ENTROPY,1555.80000000,1556.20000000,1556.00000000,20,20,3222.22,12080.00,70494.05,4327.19,9234.48,39936.57
2026-09-14T08:37:24.135+00:00,ASTER,1557.33000000,1557.78000000,1557.55500000,333,472,65664.71,67003.56,75982.72,68140.40,69340.35,102257.34
2026-09-14T08:37:25.135+00:00,HL,1555.90000000,1556.00000000,1555.95000000,20,20,613591.05,909208.90,1542981.70,220555.24,450272.18,1074183.44
2026-09-14T08:37:25.135+00:00,ENTROPY,1555.80000000,1556.20000000,1556.00000000,20,20,3222.22,12080.00,70494.05,4327.19,9234.48,39936.57
2026-09-14T08:37:25.135+00:00,ASTER,1557.59000000,1558.00000000,1557.79500000,333,472,69147.93,69288.06,79654.76,66499.16,68837.04,85362.21
2026-09-14T08:37:26.137+00:00,HL,1555.90000000,1556.00000000,1555.95000000,20,20,613591.05,909208.90,1542981.70,220555.24,450272.18,1074183.44
2026-09-14T08:37:26.137+00:00,ENTROPY,1555.80000000,1556.20000000,1556.00000000,20,20,3222.22,12080.00,70494.05,4327.19,9234.48,39936.57
2026-09-14T08:37:26.137+00:00,ASTER,1557.36000000,1557.78000000,1557.57000000,333,473,61117.71,62456.56,69023.08,72857.85,75273.12,149156.95
2026-09-14T08:37:27.141+00:00,HL,1555.70000000,1555.80000000,1555.75000000,20,20,292604.04,556167.63,1185842.00,144690.83,298731.60,1048917.69
2026-09-14T08:37:27.141+00:00,ENTROPY,1556.00000000,1556.10000000,1556.05000000,20,20,538.96,9152.33,70586.43,8129.02,15002.94,41889.35
2026-09-14T08:37:27.141+00:00,ASTER,1557.36000000,1557.73000000,1557.54500000,332,472,80953.91,82292.75,88859.28,59461.84,61799.19,83200.29
2026-09-14T08:37:28.131+00:00,HL,1555.70000000,1555.80000000,1555.75000000,20,20,292604.04,556167.63,1185842.00,144690.83,298731.60,1048917.69
2026-09-14T08:37:28.131+00:00,ENTROPY,1556.00000000,1556.10000000,1556.05000000,20,20,538.96,9152.33,70586.43,8129.02,15002.94,41889.35
2026-09-14T08:37:28.131+00:00,ASTER,1557.51000000,1557.84000000,1557.67500000,332,471,79327.11,81740.32,97474.48,7088.75,8273.12,25030.16
