ts_utc,venue,bid,ask,mid,levels_bid,levels_ask,bid_usd_2bps,bid_usd_5bps,bid_usd_10bps,ask_usd_2bps,ask_usd_5bps,ask_usd_10bps
2026-09-14T08:37:16.131+00:00,ENTROPY,1.33190000,1.33320000,1.33255000,20,20,12.65,66.18,283.07,17.73,4493.36,9684.52
2026-09-14T08:37:16.131+00:00,ASTER,,,,0,0,,,,,,
2026-09-14T08:37:17.140+00:00,ENTROPY,1.33190000,1.33320000,1.33255000,20,20,12.65,66.18,299.57,17.73,4493.36,9684.52
2026-09-14T08:37:17.140+00:00,ASTER,,,,0,0,,,,,,
2026-09-14T08:37:18.135+00:00,ENTROPY,1.33190000,1.33320000,1.33255000,20,20,12.65,66.18,299.57,17.73,4493.36,9684.52
2026-09-14T08:37:18.135+00:00,ASTER,,,,0,0,,,,,,
2026-09-14T08:37:19.133+00:00,ENTROPY,1.33190000,1.33320000,1.33255000,20,20,12.65,66.18,299.57,17.73,4493.36,9684.52
2026-09-14T08:37:19.133+00:00,ASTER,,,,0,0,,,,,,
2026-09-14T08:37:20.130+00:00,ENTROPY,1.33190000,1.33320000,1.33255000,20,20,12.65,66.18,299.57,17.73,4493.36,9684.52
2026-09-14T08:37:20.130+00:00,ASTER,,,,0,0,,,,,,
2026-09-14T08:37:21.131+00:00,ENTROPY,1.33190000,1.33320000,1.33255000,20,20,12.65,66.18,299.57,17.73,4493.36,9684.52
2026-09-14T08:37:21.131+00:00,ASTER,,,,0,0,,,,,,
2026-09-14T08:37:22.144+00:00,ENTROPY,1.33180000,1.33300000,1.33240000,20,20,94.29,147.81,381.33,32.53,49.46,4673.20
2026-09-14T08:37:22.144+00:00,ASTER,,,,0,0,,,,,,
2026-09-14T08:37:23.133+00:00,ENTROPY,1.33180000,1.33300000,1.33240000,20,20,94.29,147.81,381.33,32.53,49.46,4673.20
2026-09-14T08:37:23.133+00:00,ASTER,,,,0,0,,,,,,
2026-09-14T08:37:24.135+00:00,ENTROPY,1.33180000,1.33300000,1.33240000,20,20,94.29,147.81,381.33,32.53,49.46,4673.20
2026-09-14T08:37:24.135+00:00,ASTER,,,,0,0,,,,,,
2026-09-14T08:37:25.135+00:00,ENTROPY,1.33180000,1.33300000,1.33240000,20,20,94.29,147.81,381.33,32.53,49.46,4673.20
2026-09-14T08:37:25.135+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:26.139+00:00,ENTROPY,1.33180000,1.33300000,1.33240000,20,20,94.29,147.81,381.33,32.53,49.46,4673.20
2026-09-14T08:37:26.139+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:27.143+00:00,ENTROPY,1.33200000,1.33300000,1.33250000,20,20,34.90,133.84,185.75,12.66,44.53,4050.90
2026-09-14T08:37:27.143+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:28.131+00:00,ENTROPY,1.33200000,1.33300000,1.33250000,20,20,34.90,133.84,185.75,12.66,44.53,4050.90
2026-09-14T08:37:28.131+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:29.134+00:00,ENTROPY,1.33200000,1.33300000,1.33250000,20,20,34.90,133.84,185.75,12.66,44.53,4050.90
2026-09-14T08:37:29.134+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:30.140+00:00,ENTROPY,1.33200000,1.33300000,1.33250000,20,20,34.90,133.84,185.75,12.66,44.53,4050.90
2026-09-14T08:37:30.140+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:31.129+00:00,ENTROPY,1.33200000,1.33300000,1.33250000,20,20,34.90,133.84,185.75,12.66,44.53,4050.90
2026-09-14T08:37:31.129+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:32.131+00:00,ENTROPY,1.33200000,1.33300000,1.33250000,20,20,34.90,133.84,185.75,12.66,44.53,4050.90
2026-09-14T08:37:32.131+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:33.131+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:37:33.131+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:34.134+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:37:34.134+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:35.130+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:37:35.130+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:36.130+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:37:36.130+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:37.137+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:37:37.137+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:38.129+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:37:38.129+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:39.135+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:37:39.135+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:40.135+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:37:40.135+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:41.141+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:37:41.141+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:42.130+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:37:42.130+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:43.136+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:37:43.136+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:44.131+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,116.38,350.70,12.66,39.86,3881.58
2026-09-14T08:37:44.131+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:45.133+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,116.38,350.70,12.66,39.86,3881.58
2026-09-14T08:37:45.133+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:46.133+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,116.38,350.70,12.66,39.86,3881.58
2026-09-14T08:37:46.133+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:47.129+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,116.38,350.70,12.66,39.86,3881.58
2026-09-14T08:37:47.129+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:48.138+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,116.38,350.70,12.66,39.86,3881.58
2026-09-14T08:37:48.138+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:49.143+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,100.81,135.55,369.88,12.66,39.86,3881.58
2026-09-14T08:37:49.143+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:50.137+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,100.81,135.55,369.88,12.66,39.86,3881.58
2026-09-14T08:37:50.137+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,12,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:51.141+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,100.81,135.55,369.88,12.66,39.86,3881.58
2026-09-14T08:37:51.141+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:52.134+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,100.81,135.55,369.88,12.66,39.86,3881.58
2026-09-14T08:37:52.134+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:53.134+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,100.81,135.55,369.88,12.66,39.86,3881.58
2026-09-14T08:37:53.134+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:54.143+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,100.81,134.22,368.54,12.66,39.86,3881.58
2026-09-14T08:37:54.143+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:55.130+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,100.81,134.22,368.54,12.66,39.86,3881.58
2026-09-14T08:37:55.130+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:56.130+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,100.81,134.22,368.54,12.66,39.86,3881.58
2026-09-14T08:37:56.130+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:57.136+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,100.81,134.22,368.54,12.66,39.86,3881.58
2026-09-14T08:37:57.136+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:58.130+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,100.81,134.22,368.54,12.66,39.86,3881.58
2026-09-14T08:37:58.130+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:37:59.130+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,100.81,134.22,368.54,12.66,39.86,3881.58
2026-09-14T08:37:59.130+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:00.132+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,115.05,349.37,12.66,39.86,3881.58
2026-09-14T08:38:00.132+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:01.140+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,115.05,349.37,12.66,39.86,3881.58
2026-09-14T08:38:01.140+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:02.131+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,115.05,349.37,12.66,39.86,3881.58
2026-09-14T08:38:02.131+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:03.135+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,115.05,349.37,12.66,39.86,3881.58
2026-09-14T08:38:03.135+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:04.130+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,115.05,349.37,12.66,39.86,3881.58
2026-09-14T08:38:04.130+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:05.137+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:05.137+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:06.142+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:06.142+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:07.140+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:07.140+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:08.131+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:08.131+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:09.133+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:09.133+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:10.137+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:10.137+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:11.129+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:11.129+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:12.142+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:12.142+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:13.133+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:13.133+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:14.138+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:14.138+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:15.134+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:15.134+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:16.138+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:16.138+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:17.143+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:17.143+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:18.131+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:18.131+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:19.134+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
2026-09-14T08:38:19.134+00:00,ASTER,1.33000000,1.33800000,1.33400000,10,13,1907.51,1907.51,9500.06,3556.98,3556.98,3556.98
2026-09-14T08:38:20.133+00:00,ENTROPY,1.33170000,1.33270000,1.33220000,20,20,81.63,135.68,370.01,12.66,39.86,3881.58
