ts_utc,sell_venue,buy_venue,gross_bps,net_bps,sell_bid,sell_bid_size,buy_ask,buy_ask_size,sell_ask,buy_bid,funding_sell,funding_buy,age_sell_ms,age_buy_ms
2026-09-14T08:37:15.663+00:00,ASTER,HL,10.0234,3.2234,1557.06,3.04,1555.5,2.808,1557.5,1555.4,,0.0000062500,65.3,0.3
2026-09-14T08:37:15.663+00:00,ASTER,ENTROPY,12.5951,5.7951,1557.06,3.04,1555.1,0.0077,1557.5,1555.0,,0.0000017048,65.6,0.6
2026-09-14T08:37:15.688+00:00,ASTER,HL,10.0234,3.2234,1557.06,3.04,1555.5,2.808,1557.5,1555.4,,0.0000062500,91.5,0.2
2026-09-14T08:37:15.860+00:00,ASTER,HL,9.3805,2.5805,1557.06,3.04,1555.6,12.414,1557.5,1555.5,,0.0000062500,263.4,0.3
2026-09-14T08:37:15.860+00:00,ASTER,ENTROPY,9.3813,2.5813,1557.06,3.04,1555.6,0.032,1557.5,1555.0,,0.0000017048,263.5,0.4
2026-09-14T08:37:15.886+00:00,ASTER,HL,9.3805,2.5805,1557.06,3.04,1555.6,12.414,1557.5,1555.5,,0.0000062500,290.0,0.2
2026-09-14T08:37:15.887+00:00,ASTER,ENTROPY,9.3813,2.5813,1557.06,3.04,1555.6,0.022,1557.5,1555.0,,0.0000017048,290.1,0.3
2026-09-14T08:37:15.887+00:00,ASTER,HL,9.3805,2.5805,1557.06,3.04,1555.6,12.414,1557.51,1555.5,,0.0000062500,0.4,0.5
2026-09-14T08:37:15.887+00:00,ASTER,ENTROPY,9.3813,2.5813,1557.06,3.04,1555.6,0.022,1557.51,1555.0,,0.0000017048,0.4,0.4
2026-09-14T08:37:15.889+00:00,ASTER,HL,8.2885,1.4885,1556.89,4.06,1555.6,12.414,1557.51,1555.5,,0.0000062500,0.1,2.8
2026-09-14T08:37:15.889+00:00,ASTER,ENTROPY,8.2892,1.4892,1556.89,4.06,1555.6,0.022,1557.51,1555.0,,0.0000017048,0.1,2.8
2026-09-14T08:37:15.899+00:00,ASTER,HL,8.2885,1.4885,1556.89,20.43,1555.6,12.414,1557.51,1555.5,,0.0000062500,0.1,12.6
2026-09-14T08:37:15.899+00:00,ASTER,ENTROPY,8.2892,1.4892,1556.89,20.43,1555.6,0.022,1557.51,1555.0,,0.0000017048,0.1,12.6
2026-09-14T08:37:15.912+00:00,ASTER,HL,9.6375,2.8375,1557.1,3.04,1555.6,12.414,1557.51,1555.5,,0.0000062500,0.1,25.2
2026-09-14T08:37:15.912+00:00,ASTER,ENTROPY,9.6382,2.8382,1557.1,3.04,1555.6,0.022,1557.51,1555.0,,0.0000017048,0.1,25.2
2026-09-14T08:37:15.991+00:00,ASTER,HL,9.6375,2.8375,1557.1,3.04,1555.6,12.414,1557.5,1555.5,,0.0000062500,0.2,104.2
2026-09-14T08:37:15.991+00:00,ASTER,ENTROPY,9.6382,2.8382,1557.1,3.04,1555.6,0.022,1557.5,1555.0,,0.0000017048,0.2,104.1
2026-09-14T08:37:16.031+00:00,ASTER,HL,9.6375,2.8375,1557.1,3.04,1555.6,12.414,1557.51,1555.5,,0.0000062500,0.2,144.1
2026-09-14T08:37:16.031+00:00,ASTER,ENTROPY,9.6382,2.8382,1557.1,3.04,1555.6,0.022,1557.51,1555.0,,0.0000017048,0.2,144.1
2026-09-14T08:37:16.054+00:00,ASTER,HL,9.6375,2.8375,1557.1,3.04,1555.6,34.792,1557.51,1555.5,,0.0000062500,22.7,0.2
2026-09-14T08:37:16.054+00:00,ASTER,ENTROPY,9.6379,2.8379,1557.1,3.04,1555.6,0.022,1557.51,1555.2,,0.0000017048,22.8,0.3
2026-09-14T08:37:16.094+00:00,ASTER,HL,8.2885,1.4885,1556.89,36.8,1555.6,34.792,1557.51,1555.5,0.0003250100,0.0000062500,0.2,40.6
2026-09-14T08:37:16.094+00:00,ASTER,ENTROPY,8.2889,1.4889,1556.89,36.8,1555.6,0.022,1557.51,1555.2,0.0003250100,0.0000017048,0.2,40.6
2026-09-14T08:37:16.098+00:00,ASTER,HL,8.2885,1.4885,1556.89,34.87,1555.6,34.792,1557.51,1555.5,0.0003250100,0.0000062500,0.1,45.1
2026-09-14T08:37:16.098+00:00,ASTER,ENTROPY,8.2889,1.4889,1556.89,34.87,1555.6,0.022,1557.51,1555.2,0.0003250100,0.0000017048,0.1,45.1
2026-09-14T08:37:16.098+00:00,ASTER,HL,8.2885,1.4885,1556.89,18.5,1555.6,34.792,1557.51,1555.5,0.0003250100,0.0000062500,0.1,45.2
2026-09-14T08:37:16.098+00:00,ASTER,ENTROPY,8.2889,1.4889,1556.89,18.5,1555.6,0.022,1557.51,1555.2,0.0003250100,0.0000017048,0.1,45.2
2026-09-14T08:37:16.098+00:00,ASTER,HL,8.2885,1.4885,1556.89,16.37,1555.6,34.792,1557.51,1555.5,0.0003250100,0.0000062500,0.2,45.2
