ts_utc,venue,price,size,aggressor_side,trade_id,ts_event_ns,ts_init_ns
2026-09-19T09:31:38.531+00:00,HL,364.590,2.095,SELL,972201940644468,1789809472407000064,1789810298531127100
2026-09-19T09:31:38.531+00:00,HL,364.590,3.638,SELL,1092558229447994,1789809473216999936,1789810298531127100
2026-09-19T09:31:38.531+00:00,HL,364.590,12.190,SELL,860055097278931,1789809484968000000,1789810298531127100
2026-09-19T09:31:38.531+00:00,HL,364.590,3.389,SELL,348247392689916,1789809485103000064,1789810298531127100
2026-09-19T09:31:38.531+00:00,HL,364.590,1.595,SELL,537716505549461,1789809485384999936,1789810298531127100
2026-09-19T09:31:38.531+00:00,HL,364.590,1.014,SELL,1062307229971029,1789809485590000128,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,1.044,SELL,350016280263267,1789809485656000000,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,1.157,SELL,631150830864518,1789809486391000064,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,0.675,SELL,478673453501559,1789809486391000064,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,0.643,SELL,845017662542534,1789809486796999936,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,0.578,SELL,404347422038084,1789809486796999936,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,11.286,SELL,937692651621677,1789809541991000064,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,2.785,SELL,230216062771556,1789809542328999936,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,0.756,SELL,1077835918109535,1789809542527000064,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,0.934,SELL,799861518321694,1789809542729999872,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,0.237,SELL,1073206536784110,1789809545720999936,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,11.281,SELL,989784735035784,1789809547060000000,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,0.274,SELL,271857475232242,1789809658587000064,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,1.314,SELL,1023084463196553,1789809686020999936,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.600,0.728,BUY,717749386841211,1789809759208999936,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.600,1.651,BUY,616959761493148,1789809759208999936,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.600,0.050,BUY,169819018433143,1789809759208999936,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.610,0.532,BUY,664611588333982,1789809759208999936,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.610,0.218,BUY,447139321716641,1789809759208999936,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.650,0.060,BUY,684707533165690,1789809759900000000,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.610,0.902,SELL,103660398867999,1789810176588000000,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.610,1.104,SELL,409420028496755,1789810177033999872,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.610,0.728,SELL,79735126596865,1789810177033999872,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,2.734,SELL,832609562864190,1789810233662000128,1789810298531127100
2026-09-19T09:31:38.532+00:00,HL,364.590,0.121,SELL,473436034386689,1789810288815000064,1789810298531127100
2026-09-19T09:31:41.246+00:00,HL,364.590,0.274,SELL,933489341911298,1789810299792999936,1789810301247503100
2026-09-19T09:31:58.960+00:00,HL,364.590,11.823,SELL,938521859438360,1789810317516000000,1789810318960751700
2026-09-19T09:32:02.666+00:00,HL,364.590,9.310,SELL,1054646262820053,1789810321137999872,1789810322666447300
2026-09-19T09:32:03.958+00:00,HL,364.590,0.319,SELL,888093277438790,1789810322508999936,1789810323958007600
2026-09-19T09:32:20.704+00:00,HL,364.600,0.800,BUY,542386234456238,1789810339108000000,1789810340703919700
2026-09-19T09:32:20.704+00:00,HL,364.600,1.651,BUY,579758767506305,1789810339108000000,1789810340703919700
2026-09-19T09:32:20.704+00:00,HL,364.600,0.218,BUY,1083642195926646,1789810339108000000,1789810340703919700
2026-09-19T09:32:20.704+00:00,HL,364.600,0.073,BUY,205226970324754,1789810339108000000,1789810340703919700
2026-09-19T09:33:30.750+00:00,HL,364.590,0.274,SELL,431173831956242,1789810409289999872,1789810410749767200
2026-09-19T09:33:30.895+00:00,HL,364.590,11.269,SELL,1045791467781465,1789810409431000064,1789810410895962000
2026-09-19T09:33:31.083+00:00,HL,364.590,1.614,SELL,1002774296668780,1789810409635000064,1789810411083868200
2026-09-19T09:33:31.476+00:00,HL,364.590,2.092,SELL,461789961154043,1789810409969999872,1789810411476822100
2026-09-19T09:33:31.655+00:00,HL,364.590,0.775,SELL,243032234911201,1789810410172999936,1789810411656295300
2026-09-19T09:33:31.655+00:00,HL,364.590,0.839,SELL,134174103535584,1789810410172999936,1789810411656295300
2026-09-19T09:33:41.777+00:00,HL,364.590,12.876,SELL,357626214621117,1789810420265999872,1789810421777521000
2026-09-19T09:33:42.064+00:00,HL,364.560,0.274,SELL,917749378047528,1789810420572999936,1789810422064985000
2026-09-19T09:33:55.024+00:00,HL,364.540,0.967,SELL,311556048967845,1789810433568999936,1789810435024831600
2026-09-19T09:34:19.396+00:00,HL,364.530,2.133,BUY,339887121641604,1789810457892999936,1789810459396736800
2026-09-19T09:34:30.562+00:00,HL,364.530,2.114,BUY,381605295806837,1789810469032000000,1789810470562149600
2026-09-19T09:34:32.961+00:00,HL,364.530,0.274,SELL,724223080824097,1789810471520999936,1789810472962180200
2026-09-19T09:34:52.686+00:00,HL,364.530,2.114,BUY,705787564575557,1789810491200999936,1789810492686929700
2026-09-19T09:34:52.686+00:00,HL,364.530,0.787,BUY,353167903197643,1789810491200999936,1789810492686929700
2026-09-19T09:34:52.686+00:00,HL,364.530,2.091,BUY,391177948735383,1789810491200999936,1789810492686929700
2026-09-19T09:35:50.998+00:00,ONDO,364.37,0.01,BUY,282e7537e8e131f24ba15071e98c71a2,1789810549723165938,1789810550998773200
2026-09-19T09:36:28.388+00:00,HL,364.500,0.049,SELL,122527683072848,1789810586931000064,1789810588388034200
