ts_utc,sell_venue,buy_venue,gross_bps,net_bps,sell_bid,sell_bid_size,buy_ask,buy_ask_size,sell_ask,buy_bid,funding_sell,funding_buy,age_sell_ms,age_buy_ms
2026-09-14T08:41:56.751+00:00,ASTER,HL,12.0923,5.2923,1555.58,2.7,1553.7,19.313,1555.97,1553.6,,0.0000062500,45.8,0.4
2026-09-14T08:41:56.890+00:00,ASTER,HL,10.5490,3.7490,1555.34,43.06,1553.7,19.313,1555.97,1553.6,,0.0000062500,0.3,139.2
2026-09-14T08:41:56.896+00:00,ASTER,HL,12.2209,5.4209,1555.6,2.7,1553.7,19.313,1555.97,1553.6,,0.0000062500,0.2,145.4
2026-09-14T08:41:56.980+00:00,ASTER,HL,12.2209,5.4209,1555.6,2.7,1553.7,18.087,1555.97,1553.6,,0.0000062500,84.3,0.3
2026-09-14T08:41:56.981+00:00,ASTER,HL,12.2209,5.4209,1555.6,2.7,1553.7,0.438,1555.97,1553.6,,0.0000062500,84.6,0.5
2026-09-14T08:41:56.981+00:00,ASTER,ENTROPY,8.3603,1.5603,1555.6,2.7,1554.3,0.476,1555.97,1554.0,,0.0000020646,84.8,0.7
2026-09-14T08:41:57.199+00:00,ASTER,ENTROPY,8.3603,1.5603,1555.6,2.7,1554.3,0.859,1555.97,1554.0,0.0003265400,0.0000020646,302.9,0.3
2026-09-14T08:41:57.316+00:00,ASTER,HL,12.2209,5.4209,1555.6,2.7,1553.7,0.438,1555.97,1553.6,0.0003265400,0.0000062500,420.1,0.2
2026-09-14T08:41:57.332+00:00,ASTER,HL,10.2908,3.4908,1555.6,2.7,1554.0,1.287,1555.97,1553.6,0.0003265400,0.0000062500,435.7,0.2
2026-09-14T08:41:57.339+00:00,ASTER,HL,8.6189,1.8189,1555.34,10.28,1554.0,1.287,1555.97,1553.6,0.0003265400,0.0000062500,0.1,6.5
2026-09-14T08:41:57.348+00:00,ASTER,HL,8.6189,1.8189,1555.34,5.53,1554.0,1.287,1555.97,1553.6,0.0003265400,0.0000062500,0.1,15.8
2026-09-14T08:41:57.348+00:00,ASTER,HL,8.6189,1.8189,1555.34,5.53,1554.0,1.287,1555.97,1553.6,0.0003265400,0.0000062500,0.2,15.9
2026-09-14T08:41:57.348+00:00,ASTER,HL,8.6188,1.8188,1555.34,5.53,1554.0,1.287,1556.0,1553.6,0.0003265400,0.0000062500,0.2,15.9
2026-09-14T08:41:57.348+00:00,ASTER,HL,8.6188,1.8188,1555.34,0.78,1554.0,1.287,1556.0,1553.6,0.0003265400,0.0000062500,0.3,15.9
2026-09-14T08:41:57.358+00:00,ASTER,HL,8.6189,1.8189,1555.34,0.78,1554.0,1.287,1555.96,1553.6,0.0003265400,0.0000062500,0.1,26.0
2026-09-14T08:41:57.366+00:00,ASTER,HL,8.6191,1.8191,1555.34,0.78,1554.0,1.287,1555.83,1553.6,0.0003265400,0.0000062500,0.1,33.6
2026-09-14T08:41:57.366+00:00,ASTER,HL,8.6191,1.8191,1555.34,0.78,1554.0,1.287,1555.83,1553.6,0.0003265400,0.0000062500,0.1,33.7
2026-09-14T08:41:57.396+00:00,ASTER,HL,8.6187,1.8187,1555.34,0.78,1554.0,1.287,1555.83,1553.9,0.0003265400,0.0000062500,30.6,0.2
